,cell_type_dc_sub_final
1213,Breast cancer subtype 1
1214,Macrophages
1215,Endothelial cells
1216,Stromal cells
1217,Macrophages
1218,Macrophages
1219,Macrophages
1220,Stromal cells
1221,T cells
1222,Breast cancer subtype 1
1223,Breast cancer subtype 3
1224,Breast cancer subtype 3
1225,Breast cancer subtype 1
1226,Breast cancer subtype 1
1227,Breast cancer subtype 1
1228,Breast cancer subtype 1
1229,Breast cancer subtype 1
1230,Macrophages
1231,Macrophages
1232,Breast cancer subtype 1
1233,Breast cancer subtype 1
1234,Breast cancer subtype 1
1235,Macrophages
1236,Breast cancer subtype 1
1237,Stromal cells
1238,Macrophages
1239,Breast cancer subtype 1
1240,Breast cancer subtype 3
1241,Breast cancer subtype 1
1242,Breast cancer subtype 1
1243,Macrophages
1244,Breast cancer subtype 1
1245,Breast cancer subtype 1
1246,Breast cancer subtype 1
1247,Breast cancer subtype 1
1248,Breast cancer subtype 1
1249,Breast cancer subtype 1
1250,Breast cancer subtype 1
1251,Breast cancer subtype 1
1252,Breast cancer subtype 3
1253,Breast cancer subtype 1
1254,Breast cancer subtype 1
1255,Breast cancer subtype 1
1256,Macrophages
1257,Macrophages
1258,Breast cancer subtype 1
1259,Breast cancer subtype 1
1260,Breast cancer subtype 1
1261,Breast cancer subtype 1
1262,Breast cancer subtype 1
1263,Breast cancer subtype 1
1264,Macrophages
1265,Breast cancer subtype 1
1266,Breast cancer subtype 1
1267,Breast cancer subtype 1
1268,Breast cancer subtype 1
1269,Breast cancer subtype 1
1270,Breast cancer subtype 1
1271,Macrophages
1272,Breast cancer subtype 1
1273,Breast cancer subtype 1
1274,Breast cancer subtype 1
1275,Breast cancer subtype 1
1276,Breast cancer subtype 1
1277,Breast cancer subtype 1
1278,Breast cancer subtype 1
1279,Breast cancer subtype 1
1280,Breast cancer subtype 1
1281,Breast cancer subtype 1
1282,Breast cancer subtype 1
1283,Breast cancer subtype 1
1284,Breast cancer subtype 1
1285,Breast cancer subtype 1
1286,Breast cancer subtype 1
1287,Breast cancer subtype 1
1288,Breast cancer subtype 1
1289,Breast cancer subtype 1
