,cell_type_dc_sub_final
165713,Breast cancer subtype 2
165714,Breast cancer subtype 2
165715,Breast cancer subtype 2
165716,Breast cancer subtype 2
165717,Macrophages
165718,Breast cancer subtype 2
165719,Breast cancer subtype 2
165720,Breast myoepithelial cells
165721,Breast cancer subtype 2
165722,Breast myoepithelial cells
165723,Breast cancer subtype 2
165724,Stromal cells
165725,Breast cancer subtype 2
165726,Breast myoepithelial cells
165727,Endothelial cells
165728,Breast myoepithelial cells
165729,Breast cancer subtype 2
165730,Breast cancer subtype 2
165731,T cells
165732,Breast cancer subtype 2
165733,Smooth muscle cells
165734,Breast myoepithelial cells
165735,T cells
165736,Smooth muscle cells
165737,Stromal cells
165738,Stromal cells
165739,Macrophages
165740,Breast myoepithelial cells
165741,Breast cancer subtype 2
165742,Stromal cells
165743,T cells
165744,T cells
165745,Stromal cells
165746,Breast cancer subtype 2
165747,T cells
165748,Macrophages
165749,Breast myoepithelial cells
165750,Macrophages
165751,Stromal cells
165752,T cells
165753,T cells
165754,Smooth muscle cells
165755,Breast myoepithelial cells
165757,Stromal cells
165758,Stromal cells
165759,Macrophages
165760,Endothelial cells
165761,Endothelial cells
165762,Breast cancer subtype 2
165763,Breast cancer subtype 2
165764,Breast myoepithelial cells
165765,Breast myoepithelial cells
165766,Breast cancer subtype 2
165767,Breast cancer subtype 2
165768,Breast cancer subtype 2
165769,Breast myoepithelial cells
165770,Breast cancer subtype 2
165771,Breast cancer subtype 2
165772,Breast cancer subtype 2
165773,Breast cancer subtype 2
165774,T cells
165775,T cells
165776,Macrophages
165777,T cells
165778,Stromal cells
165779,Macrophages
165780,B cells
165781,Macrophages
165782,T cells
165783,Macrophages
165784,Macrophages
165785,T cells
165786,Macrophages
165787,T cells
165788,Macrophages
165789,Stromal cells
165790,Macrophages
165791,T cells
165792,T cells
165793,Stromal cells
165794,T cells
165795,Macrophages
165796,T cells
165797,T cells
165798,T cells
165799,Macrophages
165800,T cells
165801,B cells
165802,T cells
165803,Stromal cells
165804,T cells
165805,Macrophages
165806,Macrophages
165807,B cells
165808,T cells
165809,Endothelial cells
165810,Endothelial cells
165811,B cells
165812,B cells
165813,Endothelial cells
165814,Endothelial cells
165815,T cells
165816,Endothelial cells
165817,B cells
165818,T cells
165819,Smooth muscle cells
165820,Smooth muscle cells
165821,B cells
165822,Breast cancer subtype 2
165823,Stromal cells
165824,Stromal cells
165825,Macrophages
165826,Breast cancer subtype 2
165827,Breast cancer subtype 2
165828,Breast myoepithelial cells
165829,Breast cancer subtype 2
165830,Smooth muscle cells
165831,Breast cancer subtype 2
165832,Breast glandular cells
165833,Breast cancer subtype 2
165834,Breast cancer subtype 2
165835,Breast myoepithelial cells
165837,Breast myoepithelial cells
165838,Breast cancer subtype 2
165839,Breast cancer subtype 2
165840,Breast cancer subtype 2
165841,Breast cancer subtype 2
165842,Breast cancer subtype 2
165843,Breast cancer subtype 2
165844,Breast cancer subtype 2
165845,Breast cancer subtype 2
165846,Breast cancer subtype 2
165847,Breast cancer subtype 2
165848,Breast glandular cells
165849,Stromal cells
165850,Breast cancer subtype 2
165851,Breast cancer subtype 2
165852,Breast cancer subtype 2
165853,Breast cancer subtype 2
165854,Breast glandular cells
165855,Breast cancer subtype 2
165856,Breast glandular cells
165857,Breast cancer subtype 2
165858,Breast glandular cells
165859,Breast cancer subtype 2
165860,Breast glandular cells
165862,Breast cancer subtype 2
165863,Breast myoepithelial cells
165864,Stromal cells
165865,Breast cancer subtype 2
165866,Breast cancer subtype 2
165867,Breast glandular cells
165868,T cells
165869,Breast cancer subtype 2
165870,Macrophages
165871,Breast cancer subtype 5
165872,Breast cancer subtype 2
165873,Breast cancer subtype 2
165874,Breast cancer subtype 2
165876,Breast cancer subtype 2
165877,Breast glandular cells
165878,Breast cancer subtype 2
165880,Breast glandular cells
165881,Breast glandular cells
165882,Breast glandular cells
165883,Breast glandular cells
165884,Breast cancer subtype 2
165885,Breast cancer subtype 5
165886,Breast glandular cells
165887,Breast cancer subtype 4
165888,Breast cancer subtype 2
165889,Breast glandular cells
165890,Breast cancer subtype 2
165891,Breast cancer subtype 2
165892,Breast cancer subtype 2
165893,Breast cancer subtype 2
165894,Breast cancer subtype 2
165895,Breast glandular cells
165896,Breast cancer subtype 2
165897,Breast cancer subtype 2
165898,Breast cancer subtype 2
165899,Breast cancer subtype 2
165900,Breast cancer subtype 2
165901,Breast cancer subtype 2
165902,Breast cancer subtype 2
165903,Breast glandular cells
165904,Breast cancer subtype 2
165905,Breast cancer subtype 2
165906,Breast cancer subtype 2
165907,Breast cancer subtype 2
165908,Breast cancer subtype 2
165909,Breast cancer subtype 2
165910,Breast cancer subtype 2
165911,Breast cancer subtype 2
165912,Breast cancer subtype 2
165913,Breast cancer subtype 2
165914,Breast cancer subtype 2
165915,Breast cancer subtype 2
165916,Breast cancer subtype 2
165917,Breast cancer subtype 2
165918,Breast cancer subtype 2
165919,Breast cancer subtype 2
165920,Breast cancer subtype 2
165921,Breast cancer subtype 2
165922,Breast cancer subtype 2
165923,Breast cancer subtype 2
165924,Breast cancer subtype 2
165925,Breast cancer subtype 2
165926,Breast cancer subtype 2
165927,Breast cancer subtype 2
165928,Breast cancer subtype 2
165929,Breast cancer subtype 2
165930,Breast cancer subtype 2
165931,Breast cancer subtype 2
165932,Breast cancer subtype 2
165933,Breast cancer subtype 2
165934,Breast cancer subtype 2
165935,Breast cancer subtype 2
165936,Breast cancer subtype 2
165937,Breast cancer subtype 2
165938,Breast cancer subtype 2
165939,Breast myoepithelial cells
165940,Stromal cells
165941,Breast cancer subtype 2
165942,Stromal cells
165943,Breast cancer subtype 2
165944,T cells
165945,Endothelial cells
165946,Breast cancer subtype 2
165947,Breast cancer subtype 2
165948,Breast cancer subtype 2
165949,Breast cancer subtype 2
165950,T cells
165951,Breast cancer subtype 2
165952,Breast cancer subtype 2
165953,Breast cancer subtype 2
165954,Breast myoepithelial cells
165955,Breast cancer subtype 2
165956,Breast cancer subtype 2
165957,Breast cancer subtype 2
165958,Breast cancer subtype 2
165959,Breast cancer subtype 2
165960,Breast cancer subtype 2
165961,Breast cancer subtype 2
165962,Breast cancer subtype 2
165963,Breast cancer subtype 2
165964,Breast cancer subtype 2
165965,Breast cancer subtype 2
165966,Breast cancer subtype 2
165967,Breast cancer subtype 2
165968,Breast cancer subtype 2
165969,Breast cancer subtype 2
165970,Breast cancer subtype 2
165971,Breast cancer subtype 2
165972,Breast cancer subtype 2
165973,Breast cancer subtype 2
165974,Breast cancer subtype 2
165975,Breast cancer subtype 2
165976,Breast cancer subtype 2
165977,Breast cancer subtype 2
165978,Breast cancer subtype 2
165979,Breast cancer subtype 2
165980,Breast cancer subtype 2
165981,Breast cancer subtype 2
165982,Breast cancer subtype 2
165983,Breast cancer subtype 2
165984,Breast cancer subtype 2
165985,Breast cancer subtype 2
165986,Breast cancer subtype 2
165987,Breast cancer subtype 2
165988,Breast cancer subtype 2
165989,Breast cancer subtype 2
165990,Breast cancer subtype 2
165991,Breast cancer subtype 2
165992,Breast cancer subtype 2
165993,Breast cancer subtype 2
165994,Breast cancer subtype 2
165995,Breast myoepithelial cells
165996,Breast glandular cells
165997,Breast cancer subtype 2
165998,Breast cancer subtype 2
165999,Breast cancer subtype 2
166000,Breast cancer subtype 2
166001,Breast cancer subtype 2
166002,Breast cancer subtype 2
166003,Breast cancer subtype 2
166004,Breast cancer subtype 2
166005,Breast cancer subtype 2
166006,Breast cancer subtype 2
166007,Breast cancer subtype 2
166008,T cells
166009,Breast cancer subtype 2
166010,Breast cancer subtype 2
166011,Breast cancer subtype 2
166012,Breast cancer subtype 2
166013,Breast cancer subtype 2
166014,Breast cancer subtype 2
166015,Breast cancer subtype 2
166016,Breast cancer subtype 2
166017,Breast cancer subtype 2
166018,Breast cancer subtype 4
166019,Smooth muscle cells
166020,Breast cancer subtype 2
166021,Breast cancer subtype 2
166022,Stromal cells
166023,Breast cancer subtype 2
166024,Endothelial cells
166026,Breast cancer subtype 2
166027,Breast cancer subtype 2
166028,Breast cancer subtype 2
166030,Breast cancer subtype 2
166031,Breast myoepithelial cells
166032,Breast glandular cells
166033,Breast glandular cells
166034,Breast cancer subtype 2
166035,Breast cancer subtype 2
166036,Breast cancer subtype 2
166037,Breast cancer subtype 2
166038,Macrophages
166039,Breast glandular cells
166040,Breast cancer subtype 1
166041,Breast cancer subtype 5
166042,Breast cancer subtype 2
166043,Breast cancer subtype 2
166044,Breast cancer subtype 2
166045,Macrophages
166046,Breast cancer subtype 2
166047,Breast cancer subtype 2
166048,Breast cancer subtype 2
166049,Breast myoepithelial cells
166050,Breast myoepithelial cells
166051,Breast myoepithelial cells
166052,Breast cancer subtype 2
166053,Breast myoepithelial cells
166054,Macrophages
166055,Breast cancer subtype 2
166056,Breast cancer subtype 2
166057,Breast cancer subtype 2
166058,Stromal cells
166059,Breast cancer subtype 2
166060,Breast cancer subtype 2
166061,Breast cancer subtype 2
166062,Breast glandular cells
166063,Breast cancer subtype 2
166064,Breast cancer subtype 2
166065,Breast cancer subtype 2
166066,Breast glandular cells
166067,Breast cancer subtype 2
166068,Breast cancer subtype 2
166069,Breast cancer subtype 2
166070,Breast glandular cells
166071,Breast glandular cells
166072,Breast cancer subtype 2
166073,Breast cancer subtype 2
166074,Breast cancer subtype 2
166075,Breast cancer subtype 2
166076,Breast cancer subtype 2
166077,Breast cancer subtype 2
166078,Breast cancer subtype 2
166079,Breast cancer subtype 2
166080,Breast cancer subtype 2
166081,Breast cancer subtype 2
166082,Breast cancer subtype 2
166083,Breast cancer subtype 2
166084,Breast cancer subtype 2
166085,Breast cancer subtype 2
166086,Breast cancer subtype 2
166087,Breast cancer subtype 2
166088,Breast cancer subtype 2
166089,Breast cancer subtype 2
166090,Breast cancer subtype 2
166091,Breast cancer subtype 2
166092,Breast cancer subtype 2
166093,Breast cancer subtype 2
166094,Breast cancer subtype 2
166095,Breast cancer subtype 2
166096,Breast cancer subtype 2
166097,Breast cancer subtype 2
166098,Breast cancer subtype 2
166099,Breast cancer subtype 2
166100,Breast cancer subtype 2
166101,Breast cancer subtype 2
166102,Breast cancer subtype 2
166103,Breast cancer subtype 2
166104,Breast myoepithelial cells
166105,Breast myoepithelial cells
166106,Breast cancer subtype 2
166107,Breast cancer subtype 2
166108,Breast cancer subtype 2
166109,Breast myoepithelial cells
166110,Breast cancer subtype 2
166111,Breast myoepithelial cells
166112,Endothelial cells
166113,Endothelial cells
166114,Breast myoepithelial cells
166115,Stromal cells
166116,Stromal cells
166117,Endothelial cells
166118,Stromal cells
166119,T cells
166120,Stromal cells
166121,Breast cancer subtype 2
166122,Breast cancer subtype 2
166123,Breast myoepithelial cells
166124,T cells
166125,Endothelial cells
166126,Endothelial cells
166127,Endothelial cells
166128,Macrophages
166129,Breast myoepithelial cells
166130,Smooth muscle cells
166131,Breast myoepithelial cells
166132,T cells
166133,Stromal cells
166134,Macrophages
166135,Macrophages
166136,Breast cancer subtype 2
166137,Breast myoepithelial cells
166138,Macrophages
166139,Endothelial cells
166140,Breast cancer subtype 2
166141,B cells
166142,Stromal cells
166143,Breast cancer subtype 2
166144,Endothelial cells
166145,B cells
166146,Breast cancer subtype 2
166147,T cells
166148,Endothelial cells
166149,Breast cancer subtype 2
166150,T cells
166151,Breast myoepithelial cells
166152,T cells
166153,Macrophages
166154,Endothelial cells
166155,Breast myoepithelial cells
166156,Breast myoepithelial cells
166157,Breast myoepithelial cells
166158,Breast cancer subtype 2
166159,Endothelial cells
166160,Endothelial cells
166161,Stromal cells
166162,Smooth muscle cells
166163,Stromal cells
166164,T cells
166165,Macrophages
166166,Stromal cells
166167,T cells
166168,T cells
166169,Endothelial cells
166170,Stromal cells
166171,Stromal cells
166172,T cells
166173,Stromal cells
166174,Macrophages
166175,Macrophages
166176,Macrophages
166177,Macrophages
166178,Macrophages
166179,T cells
166180,Stromal cells
166181,T cells
166182,B cells
166183,B cells
166184,T cells
166185,T cells
166186,Endothelial cells
166187,Macrophages
166188,B cells
166189,Stromal cells
166190,Endothelial cells
166191,Stromal cells
166192,Endothelial cells
166193,Endothelial cells
166194,Stromal cells
166195,Breast myoepithelial cells
166196,Endothelial cells
166197,T cells
166198,T cells
166199,T cells
166200,Stromal cells
166201,T cells
166202,Macrophages
166203,Macrophages
166204,Stromal cells
166205,Stromal cells
166206,Stromal cells
166207,Stromal cells
166208,Endothelial cells
166209,Stromal cells
166210,Stromal cells
166211,Macrophages
166212,Endothelial cells
166213,B cells
166214,Macrophages
166215,Macrophages
166216,Macrophages
166217,T cells
166218,Breast myoepithelial cells
166219,T cells
166220,Stromal cells
166221,B cells
166222,Breast myoepithelial cells
166223,Breast myoepithelial cells
166224,Stromal cells
166225,T cells
166226,Stromal cells
166227,Stromal cells
166228,Breast myoepithelial cells
166229,Stromal cells
166230,Breast myoepithelial cells
166231,Breast cancer subtype 2
166232,Breast cancer subtype 2
166233,Macrophages
166235,Breast cancer subtype 2
166236,Breast cancer subtype 2
166237,Stromal cells
166238,Breast cancer subtype 2
166239,Stromal cells
166240,Breast cancer subtype 2
166241,Endothelial cells
166242,Breast cancer subtype 4
166243,Breast cancer subtype 2
166244,Breast cancer subtype 2
166245,T cells
166246,Breast cancer subtype 2
166247,Macrophages
166248,Breast cancer subtype 2
166249,Breast myoepithelial cells
166250,Breast myoepithelial cells
166251,Breast cancer subtype 2
166252,Breast cancer subtype 2
166253,Breast cancer subtype 2
166254,Breast myoepithelial cells
166255,Breast myoepithelial cells
166257,Breast cancer subtype 2
166258,Breast cancer subtype 2
166259,Macrophages
166260,T cells
166261,Breast cancer subtype 2
166262,Breast myoepithelial cells
166263,Breast myoepithelial cells
166264,Breast myoepithelial cells
166265,Breast cancer subtype 2
166266,Breast cancer subtype 4
166267,Breast cancer subtype 5
166268,Breast myoepithelial cells
166270,Breast cancer subtype 2
166271,Breast myoepithelial cells
166272,Breast myoepithelial cells
166273,Endothelial cells
166274,Breast myoepithelial cells
166275,Breast cancer subtype 2
166276,Breast cancer subtype 2
166277,Breast cancer subtype 2
166278,Macrophages
166279,Endothelial cells
166280,Endothelial cells
166281,Stromal cells
166282,Smooth muscle cells
166283,Smooth muscle cells
166284,Endothelial cells
166285,Macrophages
166286,Endothelial cells
166287,Stromal cells
166288,Smooth muscle cells
166289,Smooth muscle cells
166291,Smooth muscle cells
166292,Smooth muscle cells
166293,Smooth muscle cells
166294,Smooth muscle cells
166295,Stromal cells
166296,Smooth muscle cells
166297,Stromal cells
166298,Smooth muscle cells
166299,Smooth muscle cells
166300,Stromal cells
166301,Smooth muscle cells
166302,Stromal cells
166303,Stromal cells
166304,Endothelial cells
166307,Smooth muscle cells
166308,Endothelial cells
166309,Stromal cells
166310,Smooth muscle cells
166311,Macrophages
166312,Smooth muscle cells
166313,Smooth muscle cells
166314,Smooth muscle cells
166315,Smooth muscle cells
166316,Smooth muscle cells
166317,Endothelial cells
166318,Smooth muscle cells
166319,Stromal cells
166320,Stromal cells
166321,Smooth muscle cells
166322,Macrophages
166323,Stromal cells
166324,Macrophages
166325,Endothelial cells
166326,Endothelial cells
166327,Smooth muscle cells
166328,Macrophages
166329,Smooth muscle cells
166330,Macrophages
166331,Smooth muscle cells
166332,Smooth muscle cells
166333,Smooth muscle cells
166334,Smooth muscle cells
166335,Smooth muscle cells
166336,Endothelial cells
166337,Stromal cells
166338,Stromal cells
166339,Endothelial cells
166340,Endothelial cells
166341,Smooth muscle cells
166342,Smooth muscle cells
166343,Endothelial cells
166344,Endothelial cells
166345,Smooth muscle cells
166346,Macrophages
166348,Smooth muscle cells
166349,Smooth muscle cells
166350,Macrophages
166351,Smooth muscle cells
166352,Smooth muscle cells
166353,Endothelial cells
166354,Endothelial cells
166355,Breast cancer subtype 1
166356,Breast cancer subtype 1
166357,Endothelial cells
166358,Endothelial cells
166359,Endothelial cells
166360,Stromal cells
166361,Stromal cells
166362,Endothelial cells
166363,Stromal cells
166364,Stromal cells
166365,Stromal cells
166366,Stromal cells
166367,Endothelial cells
166368,Endothelial cells
166369,B cells
166370,Stromal cells
166371,Stromal cells
166372,T cells
166373,Stromal cells
166374,Stromal cells
166375,Stromal cells
166376,T cells
166377,Macrophages
166378,T cells
166379,Endothelial cells
166380,Endothelial cells
166381,Endothelial cells
166382,T cells
166383,Stromal cells
166384,Stromal cells
166385,B cells
166386,Smooth muscle cells
166387,Stromal cells
166388,Macrophages
166389,Macrophages
166390,Endothelial cells
166391,T cells
166392,Stromal cells
166393,Stromal cells
166394,Stromal cells
166395,Breast myoepithelial cells
166396,Breast cancer subtype 2
166397,T cells
166398,Breast cancer subtype 2
166399,Breast cancer subtype 5
166400,T cells
166401,Macrophages
166402,Breast myoepithelial cells
166403,Breast myoepithelial cells
166404,Breast myoepithelial cells
166405,T cells
166406,Breast cancer subtype 2
166407,Macrophages
166408,Breast cancer subtype 2
166409,Breast cancer subtype 2
166410,Breast cancer subtype 2
166411,Breast myoepithelial cells
166412,Breast myoepithelial cells
166413,Breast cancer subtype 2
166414,Breast myoepithelial cells
166415,Stromal cells
166416,Macrophages
166417,Breast cancer subtype 2
166418,Breast cancer subtype 2
166419,Breast cancer subtype 2
166420,Breast cancer subtype 2
166421,Endothelial cells
166422,Stromal cells
166423,Endothelial cells
166424,Smooth muscle cells
166425,Macrophages
166426,Smooth muscle cells
166427,Smooth muscle cells
166428,Adipocytes
166429,Smooth muscle cells
166430,Adipocytes
166431,Macrophages
166432,Macrophages
166433,Smooth muscle cells
166434,Stromal cells
166435,Smooth muscle cells
166436,Smooth muscle cells
166437,Endothelial cells
166438,Macrophages
166439,Stromal cells
166440,Smooth muscle cells
166441,Stromal cells
166442,Stromal cells
166443,Stromal cells
166444,Stromal cells
166445,Smooth muscle cells
166446,Macrophages
166447,Stromal cells
166448,Smooth muscle cells
166449,Endothelial cells
166450,Stromal cells
166451,Smooth muscle cells
166452,Endothelial cells
166453,Macrophages
166454,Smooth muscle cells
166455,Endothelial cells
166456,Smooth muscle cells
166457,Smooth muscle cells
166458,Stromal cells
166459,Macrophages
166460,Stromal cells
166461,Stromal cells
166462,Macrophages
166463,Smooth muscle cells
166464,Endothelial cells
166465,Endothelial cells
166466,Smooth muscle cells
166467,Stromal cells
166468,Endothelial cells
166469,Endothelial cells
166470,Macrophages
166471,Smooth muscle cells
166472,Stromal cells
166473,Stromal cells
166474,T cells
166475,T cells
166476,Endothelial cells
166477,Endothelial cells
166478,Adipocytes
166479,Macrophages
166480,Stromal cells
166481,Stromal cells
166482,Endothelial cells
166483,Smooth muscle cells
166484,Smooth muscle cells
166485,Smooth muscle cells
166486,Smooth muscle cells
166487,Stromal cells
166488,Smooth muscle cells
166489,Smooth muscle cells
166490,Stromal cells
166491,Stromal cells
166492,Macrophages
166493,T cells
166494,Macrophages
166495,T cells
166496,Stromal cells
166497,T cells
166498,Stromal cells
166499,Macrophages
166500,Stromal cells
166501,Macrophages
166502,T cells
166503,T cells
166504,Macrophages
166505,B cells
166506,T cells
166507,Macrophages
166508,T cells
166509,T cells
166510,B cells
166511,Macrophages
166512,T cells
166513,B cells
166514,B cells
166515,T cells
166516,T cells
166517,T cells
166518,Stromal cells
166519,Stromal cells
166520,B cells
166521,T cells
166522,Stromal cells
166523,Macrophages
166524,T cells
166525,Macrophages
166526,Macrophages
166527,Stromal cells
166528,T cells
166529,T cells
166530,T cells
166531,Stromal cells
166532,Macrophages
166533,Stromal cells
166534,Stromal cells
166535,T cells
166536,B cells
166537,Macrophages
166538,Macrophages
166539,B cells
166540,T cells
166541,B cells
166542,Macrophages
166543,Macrophages
166544,Macrophages
166545,B cells
166546,T cells
166547,Stromal cells
166548,Stromal cells
166549,Stromal cells
166550,Stromal cells
166551,Macrophages
166552,Stromal cells
166553,Stromal cells
166554,B cells
166555,Macrophages
166556,Endothelial cells
166557,T cells
166558,Macrophages
166559,Endothelial cells
166560,T cells
166561,Macrophages
166562,T cells
166563,Macrophages
166564,Endothelial cells
166565,T cells
166566,Macrophages
166567,B cells
166568,Stromal cells
166569,Stromal cells
166570,Stromal cells
166571,B cells
166572,T cells
166573,B cells
166574,B cells
166575,B cells
166576,T cells
166577,Stromal cells
166578,T cells
166579,T cells
166580,T cells
166581,B cells
166582,Endothelial cells
166583,Endothelial cells
166584,Stromal cells
166585,Stromal cells
166586,Endothelial cells
166587,Endothelial cells
166588,Stromal cells
166589,Smooth muscle cells
166590,T cells
166591,Endothelial cells
166592,Endothelial cells
166593,Endothelial cells
166594,Smooth muscle cells
166595,Endothelial cells
166596,T cells
166597,Macrophages
166598,Endothelial cells
166599,Endothelial cells
166600,Smooth muscle cells
166601,Endothelial cells
166602,Stromal cells
166603,Endothelial cells
166604,Endothelial cells
166605,Smooth muscle cells
166606,Endothelial cells
166607,Macrophages
166608,Endothelial cells
166609,Endothelial cells
166610,Stromal cells
166611,Endothelial cells
166612,Endothelial cells
166613,Stromal cells
166614,Endothelial cells
166615,Smooth muscle cells
166616,T cells
166617,T cells
166618,T cells
166620,T cells
166621,T cells
166622,T cells
166623,T cells
166624,T cells
166626,T cells
166627,T cells
166628,B cells
166629,Macrophages
166630,Macrophages
166631,B cells
166632,Macrophages
166633,T cells
166634,Stromal cells
166635,T cells
166636,Stromal cells
166637,Stromal cells
166638,Stromal cells
166639,Stromal cells
166640,Stromal cells
166641,Stromal cells
166642,Stromal cells
166643,Breast cancer subtype 2
166644,Breast glandular cells
166645,Breast cancer subtype 2
166646,Breast glandular cells
166647,Breast cancer subtype 2
166648,Breast glandular cells
166649,Breast cancer subtype 2
166650,Breast cancer subtype 2
166651,Breast myoepithelial cells
166652,Breast cancer subtype 2
166653,Breast cancer subtype 2
166654,Breast cancer subtype 2
166655,T cells
166656,T cells
166657,Macrophages
166658,T cells
166659,Stromal cells
166660,T cells
166661,T cells
166662,T cells
166663,T cells
166664,Smooth muscle cells
166665,T cells
166666,T cells
166667,Smooth muscle cells
166668,T cells
166669,Smooth muscle cells
166670,T cells
166671,T cells
166672,T cells
166673,Smooth muscle cells
166674,B cells
166675,T cells
166676,B cells
166677,T cells
166678,B cells
166679,Breast myoepithelial cells
166680,Breast cancer subtype 2
166681,Breast cancer subtype 2
166682,Breast cancer subtype 2
166683,Breast cancer subtype 2
166684,Breast cancer subtype 2
166685,Breast cancer subtype 2
166686,Breast cancer subtype 2
166687,Breast myoepithelial cells
166688,Breast cancer subtype 2
166689,Breast cancer subtype 2
166690,Breast glandular cells
166691,Breast myoepithelial cells
166692,Breast glandular cells
166693,Breast glandular cells
166694,Breast cancer subtype 2
166695,Breast cancer subtype 2
166696,Breast cancer subtype 2
166697,Macrophages
166698,Breast glandular cells
166699,Breast cancer subtype 2
166700,Breast cancer subtype 2
166701,Breast cancer subtype 2
166702,Breast cancer subtype 2
166703,Breast cancer subtype 2
166704,Breast cancer subtype 2
166705,Breast cancer subtype 2
166706,Breast myoepithelial cells
166707,Breast myoepithelial cells
166708,Breast cancer subtype 2
166709,Breast myoepithelial cells
166710,Stromal cells
166711,Breast myoepithelial cells
166712,Breast myoepithelial cells
166713,Breast myoepithelial cells
166714,Breast cancer subtype 2
166715,B cells
166716,Breast myoepithelial cells
166717,Endothelial cells
166718,Breast cancer subtype 2
166719,Macrophages
166720,T cells
166721,Macrophages
166722,Breast cancer subtype 2
166723,Macrophages
166724,Macrophages
166725,Breast cancer subtype 2
166726,Breast cancer subtype 2
166727,Macrophages
166729,Macrophages
166730,Breast myoepithelial cells
166731,Macrophages
166732,Macrophages
166733,Breast myoepithelial cells
166734,Breast cancer subtype 2
166735,Breast cancer subtype 2
166736,Breast cancer subtype 2
166737,Breast cancer subtype 2
166738,Breast cancer subtype 2
166739,Breast cancer subtype 2
166740,Breast cancer subtype 2
166741,Breast cancer subtype 2
166742,Breast cancer subtype 2
166743,Breast cancer subtype 2
166744,Breast cancer subtype 2
166745,Breast cancer subtype 2
166746,Breast cancer subtype 2
166747,Breast cancer subtype 2
166748,Breast cancer subtype 2
166749,Breast cancer subtype 2
166750,Breast cancer subtype 2
166751,Breast cancer subtype 2
166752,Breast cancer subtype 2
166753,Breast cancer subtype 2
166754,T cells
166756,T cells
166757,Macrophages
166759,B cells
166760,Stromal cells
166761,T cells
166763,T cells
166764,T cells
166765,Stromal cells
166766,Macrophages
166767,T cells
166768,T cells
166769,T cells
166770,B cells
166772,T cells
166774,T cells
166775,T cells
166776,Endothelial cells
166777,T cells
166778,T cells
166779,Endothelial cells
166780,Endothelial cells
166781,T cells
166782,T cells
166783,Stromal cells
166785,Stromal cells
166786,T cells
166787,T cells
166788,T cells
166789,T cells
166790,Macrophages
166791,T cells
166792,Macrophages
166793,Endothelial cells
166794,Stromal cells
166795,Endothelial cells
166796,Breast myoepithelial cells
166797,Breast myoepithelial cells
166798,Breast cancer subtype 2
166799,Breast cancer subtype 2
166800,Breast cancer subtype 2
166801,Breast cancer subtype 2
166802,Breast cancer subtype 2
166803,Breast cancer subtype 2
166804,Breast cancer subtype 2
166805,Breast cancer subtype 2
166806,Breast cancer subtype 2
166807,Breast cancer subtype 2
166808,Breast cancer subtype 2
166809,Breast cancer subtype 2
166810,Breast cancer subtype 2
166811,Macrophages
166812,Macrophages
166813,T cells
166814,Macrophages
166815,T cells
166816,T cells
166817,T cells
166818,T cells
166819,T cells
166820,T cells
166821,Macrophages
166822,T cells
166823,T cells
166824,T cells
166826,T cells
166827,T cells
166828,T cells
166829,B cells
166830,T cells
166831,Stromal cells
166832,T cells
166833,T cells
166834,T cells
166835,B cells
166836,T cells
166837,T cells
166838,Breast myoepithelial cells
166839,Endothelial cells
166840,Breast myoepithelial cells
166841,Endothelial cells
166842,Endothelial cells
166843,Stromal cells
166844,Stromal cells
166845,Stromal cells
166846,Stromal cells
166847,Stromal cells
166848,B cells
166849,T cells
166850,Stromal cells
166851,Stromal cells
166852,Macrophages
166853,Stromal cells
166854,T cells
166855,T cells
166856,T cells
166857,Stromal cells
166858,T cells
166859,Stromal cells
166860,Smooth muscle cells
166861,Endothelial cells
166862,Stromal cells
166863,Breast cancer subtype 2
166864,Breast cancer subtype 2
166865,Breast cancer subtype 2
166866,Breast cancer subtype 2
166867,Breast cancer subtype 2
166868,Breast cancer subtype 2
166869,Breast cancer subtype 2
166870,Breast cancer subtype 2
166871,Breast cancer subtype 2
166872,Breast cancer subtype 2
166873,Breast myoepithelial cells
166874,Breast cancer subtype 2
166875,Breast cancer subtype 2
166876,Breast cancer subtype 2
166877,Breast cancer subtype 2
166878,Breast cancer subtype 2
166879,Breast cancer subtype 2
166880,Breast cancer subtype 2
166881,Breast cancer subtype 2
166882,Breast myoepithelial cells
166883,Breast cancer subtype 2
166884,Breast myoepithelial cells
166885,Breast myoepithelial cells
166886,Breast cancer subtype 2
166887,Breast cancer subtype 2
166888,Breast cancer subtype 2
166889,Breast cancer subtype 2
166890,Breast myoepithelial cells
166891,Breast myoepithelial cells
166892,Endothelial cells
166893,Breast cancer subtype 2
166894,Breast cancer subtype 2
166895,Breast cancer subtype 2
166896,Breast cancer subtype 2
166897,Breast cancer subtype 5
166898,Breast cancer subtype 2
166899,Breast cancer subtype 2
166900,Breast cancer subtype 2
166901,Breast cancer subtype 2
166902,Breast cancer subtype 2
166903,Breast cancer subtype 2
166904,Breast cancer subtype 2
166905,Breast cancer subtype 2
166906,Breast cancer subtype 2
166907,Breast cancer subtype 2
166908,Breast cancer subtype 2
166909,Breast cancer subtype 2
166910,Breast cancer subtype 2
166911,Breast cancer subtype 2
166912,Breast cancer subtype 2
166913,Breast cancer subtype 2
166914,Breast cancer subtype 2
166915,Breast cancer subtype 2
166916,Breast cancer subtype 2
166917,Breast cancer subtype 2
166918,Breast cancer subtype 2
166919,Breast cancer subtype 2
166920,Breast cancer subtype 2
166921,Breast cancer subtype 2
